index,date_published,date_modified,source,sponsor,title
112,2019-09-27T14:57:33,2019-09-27T14:57:33,nrc,Shell,Zichtbaar duurzaam gedrag motiveert anderen
113,2019-06-28T22:01:10,2019-06-28T22:01:10,nrc,Shell,Podcast: CO2-compensatie is reductie maar dan op een andere plek
114,2019-05-10T09:23:55,2019-05-10T09:23:55,nrc,Shell,Efficienter rijden is per definitie goedkoper rijden
115,2019-04-18T14:12:11,2019-04-18T14:12:11,nrc,Shell,In Noorwegen ontstond een run op elektrische autos
116,2019-04-10T09:51:56,2019-04-10T09:51:56,nrc,Shell,Ruim 80% van de essen in Nederland is momenteel aangetast
117,2019-01-24T10:30:11,2019-01-24T10:30:11,nrc,Shell,Brandstofkeuze hangt af van waar je woont
118,2019-01-16T14:02:41,2019-01-16T14:02:41,nrc,Shell,We hebben veel meer energie nodig maar wel schone
119,2019-01-16T14:01:10,2019-01-16T14:01:10,nrc,Shell,De voordelen van waterstof
120,2019-01-16T14:00:34,2019-01-16T14:00:34,nrc,Shell,Waterstof kan alles
121,2019-01-16T13:58:15,2019-01-16T13:58:15,nrc,Shell,Wij leiden mensen op die de energietransitie gaan versnellen
122,2018-12-14T15:00:20,2018-12-14T15:00:20,nrc,Shell,Zo wordt synthetische brandstof gemaakt
123,2018-12-12T11:11:46,2018-12-12T11:11:46,nrc,Shell,Als het lukt CO2 om te zetten in brandstof sluiten we de cirkel
124,2018-12-12T11:11:26,2018-12-12T11:11:26,nrc,Shell,De energiesector is risicomijdend en traag met veranderen
125,2018-12-12T11:11:00,2018-12-12T11:11:00,nrc,Shell,De energietransitie is de nieuwe industriele revolutie
126,2018-11-12T11:09:32,2018-11-12T11:09:32,nrc,Shell,Synthetische kerosine is de enige oplossing
127,2018-11-12T11:09:03,2018-11-12T11:09:03,nrc,Shell,Er moet een deltaplan voor de energietransitie komen
128,2018-11-12T11:08:44,2018-11-12T11:08:44,nrc,Shell,Nu rijden we op benzine of diesel. Straks met accus of waterstof
129,2018-01-17T09:29:11,2018-01-17T09:29:11,nrc,Shell,Energieneutraal wonen? Het kan echt!
130,2018-01-17T09:27:35,2018-01-17T09:27:35,nrc,Shell,Restwarmte: in 5 stappen van raffinaderij naar radiator
131,2018-01-03T14:07:22,2018-01-03T14:07:22,nrc,Shell,Relaxter rijden dankzij een stille auto
132,2018-01-03T14:05:07,2018-01-03T14:05:07,nrc,Shell,Laat maar waaien: 9 dingen die je nog niet wist over windenergie
133,2018-01-03T14:01:25,2018-01-03T14:01:25,nrc,Shell,Over batterijen die veel langer meegaan. En hoe dat kan
