catagory,word,score
editorial,maximaal,-0.3071495719263869
editorial,uitgesteld,-0.30710543586207256
editorial,hbo,-0.30697234225503117
editorial,dure,-0.30641446885998647
editorial,orde,-0.30614178752319454
editorial,all,-0.30598707471138614
editorial,commissaris,-0.3057855098418354
editorial,probeert,-0.30563096775071813
editorial,amsterdamse,-0.30524946858522106
editorial,boete,-0.3051963437490115
editorial,brug,-0.30491058635278895
editorial,maandag,-0.3046858769521314
editorial,verplichte,-0.3046735522845518
editorial,vermoedelijk,-0.30465350109371075
editorial,overnemen,-0.30404313038989894
editorial,arabisch,-0.3038445165264948
editorial,producent,-0.30381480568332975
editorial,zware,-0.30378641217858643
editorial,vertelde,-0.3037291530253625
editorial,geven,-0.3028164119588756
editorial,negatieve,-0.30238324971773234
editorial,oordeel,-0.3022704080442102
editorial,massaal,-0.301726420001273
editorial,verre,-0.30161911799062097
editorial,gemeenteraad,-0.30155594640606687
editorial,boord,-0.3014715070580633
editorial,to,-0.3009085412759406
editorial,canadese,-0.3006790259067523
editorial,tesla,-0.30023663492873776
editorial,stuurde,-0.2996950836401205
editorial,organisaties,-0.29968212465402067
editorial,toespraak,-0.29946762261104154
editorial,on,-0.2993827141089027
editorial,omstreden,-0.2991730837423334
editorial,mondkapjes,-0.29907567202858865
editorial,corendon,-0.298670936320375
editorial,kw,-0.2985626182021863
editorial,ontdekt,-0.29806296674339827
editorial,gebleven,-0.29732145778758395
editorial,viel,-0.297170324676005
editorial,levert,-0.2970166106063586
editorial,noemen,-0.2963646326219933
editorial,chris,-0.2962737446407861
editorial,youtube,-0.2958982306658088
editorial,turks,-0.29514595748905836
editorial,leaseauto,-0.2948089867829358
editorial,gedragen,-0.2944959383777836
editorial,huidige,-0.2935033882079901
editorial,woorden,-0.2933719716398356
editorial,automatisering,-0.2928286896481702
editorial,gepubliceerd,-0.2928033360019315
editorial,huisarts,-0.2924213147543569
editorial,volkskrant,-0.2922984956945266
editorial,pogacar,-0.29181642377002237
editorial,krijgt,-0.29181363740865446
editorial,keek,-0.2914702170735592
editorial,pools,-0.29096487662881415
editorial,leden,-0.29074869423049865
editorial,vooruitzichten,-0.29070985067133537
editorial,arbeidsmigranten,-0.2904746230839045
editorial,mentale,-0.29016863199367415
editorial,principe,-0.28967277375191824
editorial,amerika,-0.2887951608918675
editorial,graden,-0.28877510255134614
editorial,auteur,-0.2887396290955941
editorial,tony,-0.2881103394388694
editorial,holleeder,-0.2878555164290224
editorial,fifa,-0.28735964592873897
editorial,weten,-0.28711177507312086
editorial,koen,-0.2868613541963828
editorial,voorsprong,-0.2867550057934833
editorial,dokter,-0.28668627509229644
editorial,limburg,-0.28668394157711435
editorial,hoofdstad,-0.28652755552492254
editorial,bespreken,-0.28651265758200767
editorial,project,-0.2864824679001745
editorial,veroordeeld,-0.28636078244502494
editorial,treden,-0.2863530095402234
editorial,stukken,-0.28627546224819794
editorial,system,-0.28594564442763026
editorial,faillissement,-0.2851386722279363
editorial,duitse,-0.28491589576292076
editorial,baudet,-0.2847133376162028
editorial,medewerker,-0.284462175699748
editorial,ideeën,-0.2843119359455001
editorial,controles,-0.2836866688172174
editorial,voertuig,-0.2834328710288234
editorial,protest,-0.2831818410091051
editorial,belasting,-0.28255740101532245
editorial,ploeg,-0.28245785830492015
editorial,cnv,-0.28214577179954303
editorial,installaties,-0.28196486733760934
editorial,hoogte,-0.28174302687529046
editorial,vielen,-0.2815454108702883
editorial,podium,-0.28128277607737856
editorial,bosch,-0.28111040103484297
editorial,waarderen,-0.2810515786042315
editorial,spreekt,-0.2810148514301915
editorial,zeeland,-0.2808989813179095
editorial,documentaire,-0.28070044482452766
editorial,marketing,-0.2805815243863951
editorial,gaven,-0.28047743051115265
editorial,borst,-0.28046687903861245
editorial,relatie,-0.28041257402874137
editorial,val,-0.28039568810576254
editorial,schakel,-0.2776170351285167
editorial,daarover,-0.2774795934102704
editorial,jonger,-0.2773324556963271
editorial,expert,-0.2772642564994555
editorial,messi,-0.2768753267677231
editorial,ruzie,-0.2757468450939381
editorial,rapper,-0.27525357023707525
editorial,staan,-0.2750502081759273
editorial,lonen,-0.2745417769943003
editorial,james,-0.27452671969077913
editorial,finale,-0.2738041918365355
editorial,publieke,-0.2734562278068274
editorial,gouden,-0.27335882469547196
editorial,middels,-0.273302245987663
editorial,vertraging,-0.2732586230273191
editorial,sports,-0.27303137777837994
editorial,dezelfde,-0.27278947965606665
editorial,drukte,-0.2720686661136244
editorial,bepaalde,-0.2717865508248014
editorial,halve,-0.27135560925437996
editorial,bondscoach,-0.2713368550514322
editorial,invoeren,-0.27128804909039034
editorial,asielzoekers,-0.27125506788468057
editorial,woensdagavond,-0.27109177712291044
editorial,kalender,-0.27102849315604166
editorial,binnenlandse,-0.2709693933584072
editorial,redenen,-0.27081306637141456
editorial,limburgse,-0.27039829501475415
editorial,prototype,-0.2702847051877778
editorial,faillissementen,-0.27022529013939783
editorial,keren,-0.2694005209112239
editorial,verenigde,-0.26925958747584416
editorial,kampioen,-0.2686711658243814
editorial,proef,-0.2686711331556663
editorial,schenken,-0.26860379642456955
editorial,haagse,-0.26825277399318437
editorial,eigendom,-0.26821197182308615
editorial,grijpen,-0.26783794491362845
editorial,benut,-0.2675517273620513
editorial,vrijdagavond,-0.26754998632450694
editorial,belgië,-0.26730637792473066
editorial,meeste,-0.2669466604677733
editorial,tevreden,-0.2666486515059738
editorial,gras,-0.2665988230832346
editorial,voetbalclub,-0.2663519244062627
editorial,bleken,-0.26602909973733
editorial,beloofde,-0.2656308204992267
editorial,westen,-0.26471446092149936
editorial,bereikt,-0.2646767501204338
editorial,band,-0.2642395596224765
editorial,japanse,-0.26366892580972595
editorial,toernooi,-0.2634087250538735
editorial,café,-0.26265398552648916
editorial,aangekondigd,-0.2624114884591846
editorial,tokio,-0.26185545307613145
editorial,gebouw,-0.2612730593601951
editorial,geworden,-0.2609535161364896
editorial,raken,-0.26085462591570513
editorial,vs,-0.26056930546153223
editorial,mond,-0.260219454752042
editorial,culturele,-0.25972067515346525
editorial,spelers,-0.25860652956772284
editorial,advertenties,-0.25832926188731054
editorial,scooter,-0.2582347581561177
editorial,organisator,-0.25815873893099794
editorial,efficiënt,-0.25815302918807037
editorial,musea,-0.2575494465813408
editorial,drempel,-0.2570453764290003
editorial,symptomen,-0.2567299845854855
editorial,belde,-0.25659074028436846
editorial,conflict,-0.25603289243739547
editorial,rob,-0.2550455240252099
editorial,klacht,-0.2550076511823043
editorial,vergoeding,-0.25488344975073685
editorial,wijzen,-0.2546777542588611
editorial,clubs,-0.2543773299577737
editorial,dierentuin,-0.2541962434545745
editorial,poggio,-0.2536582193604152
editorial,vluchtelingen,-0.25293401745829586
editorial,avond,-0.25263131294009716
editorial,leidt,-0.25225196295135394
editorial,weigeren,-0.2516094656006688
editorial,versoepelen,-0.2512854865273769
editorial,omgaat,-0.25121047309204025
editorial,erik,-0.250939168997052
editorial,gecompenseerd,-0.2504971322494179
editorial,continu,-0.250406642326607
editorial,aanleiding,-0.25035657520276616
editorial,versoepeling,-0.25000962315525554
editorial,directe,-0.2499013944925234
editorial,iran,-0.24989516857498276
editorial,non,-0.2493347294627526
editorial,sterke,-0.24928389403232107
editorial,ziekenhuis,-0.24915648628517886
editorial,dorp,-0.2491277280974311
editorial,startup,-0.24910123243958174
editorial,ruimte,-0.2486549262304422
editorial,haag,-0.24847001515195746
editorial,gestart,-0.24841756297283393
